Name,D (Mpc),D_err (Mpc),q (b/a),Incl (deg),Mbar,M_gas,M*(g-r),g-r,Rh,Mh,Mh_err,M_Re,Me_gmr,Me_gmrerr,M_R235,M235_gmr,M235_gmrerr,M1kpc_gmr,M1kpc_gmrerr,Rho_h,Rho_e
UGC4173,16.8,4.2,0.6989,46.88368992908443,2964804871.799697,2828000000.0,136804871.79969695,0.32699999999999996,3.132908253534961,68402435.89984848,67740270.40742616,4.024253914055357,97216917.1422455,86662056.77951957,1.9970070436799983,43935930.91993308,38948303.97685848,12775675.841609439,11390613.544609856,4.350661378024336,2.977623401666528
UGC07323,8.0,0.8,0.3791,70.81060360184325,1268679650.8018343,0.0,1268679650.8018343,0.46799999999999997,2.1018903851426307,634339825.4009172,227154521.67776203,2.7546006930144915,805095925.7030879,284737649.86966866,4.40622234272,1148169882.615514,418284292.9779859,262712512.7046405,94730633.5314877,30.742146819252163,23.739002580948966
UGC07608,4.78,1.195,0.0373,0,772245762.3332169,749000000.0,23245762.333216894,0.2719999999999967,0.7555021463006635,11622881.166608447,10499108.68349954,1.0249633388255974,15657400.439265588,13864787.549533648,0.5448233072920005,7724697.34375585,7279125.468594909,15265242.330789628,13486654.72042913,4.100836909708266,2.8688692671644875
UGC06399,7.85,1.9625,0.7439,43.00573739025255,1109917534.2958899,905800000.0,204117534.29588988,0.5289999999999999,1.1439533655670329,102058767.14794494,89550255.54291585,1.2446645697635934,108957835.73738167,95167621.30303031,2.00682761236,152125234.97031453,132981116.99620776,90362786.80246523,79046174.4982527,34.5289540885398,30.804701125229915
PGC51017,3.63,0.363,0.7081,46.110048657679556,281946488.7802842,281400000.0,546488.7802842091,-0.007999999999999119,0.07703043083488355,273244.39014210453,177820.44055253637,0.06454204445856272,237457.24049012733,130681.45914532938,-,-,-,-,-,6.069195252444096,8.159290470397202
UGC10897,20.494457668301656,2.0494457668301655,0.0621,0,7283914858.515932,0.0,7283914858.515932,0.5479999999999983,2.2869792738683055,3641957429.2579665,1306063055.5027936,3.5036187963670398,5208270429.827485,1874255569.9911718,-,-,-,1507152026.3411658,541429822.6455249,157.86228661704672,84.48531755324511
DDO64,6.1,1.525,0.6444,51.30243917452027,232425180.96182168,212800000.0,19625180.96182166,0.2259999999999991,0.9968281905042803,9812590.48091083,9111730.369250854,1.0880535564997198,10173574.31384917,9415760.95302229,1.290340030902807,12319732.139723355,11374256.036617719,9853594.801148519,9170496.476160988,5.476267473883541,5.625206426223792
NGC4013,18.0,4.5,0.673,49.01614757344018,53107104145.20607,4153799999.9999995,48953304145.20607,0.9529999999999994,3.020913121045181,24476652072.603035,22163888849.839985,4.9464954897032545,35336268865.331085,31249178165.75147,9.092287556756936,48920366551.04735,42502714957.15271,7985037046.588323,9100198748.371271,1170.8109902766794,744.5690848918347
NGC3917,18.0,4.5,0.7674,40.87341382718674,14965733576.797998,2643200000.0,12322533576.797998,0.6950000000000003,4.623718659033707,6161266788.398999,5371724565.06847,5.5132224716043305,7589950046.8659315,6614946408.834087,11.592920849399995,11599472566.396631,10068898608.291027,1341871383.9529548,1176737366.1392949,224.07231162640753,163.05074251903955
GASS20041,132.3,6.615000000000001,0.5525,58.28794574944928,15768478555.38462,1932537970.4440413,13835940584.94058,0.7410000000000014,2.0126809425861136,6917970292.47029,1370808194.3852918,3.038092483763055,8239588444.913946,1685853252.0717988,8.062557311960736,12871793964.805256,3207566715.2435236,4331862359.192701,891792479.5043125,455.63440796972594,245.81212511043194
